year	pep	pfaqi	wage_2017	ecp	ecp_2017	pnos	pfans	pfans_avr	pfans_2017	pfans_2017_avr	occ	pr
1956	54.586	10.399	71427.9207354993	203.415	3898.96448126796	114.4	958.5	923.211528027517	9217.23242619483	8958.33850561813	2.29761993181965	10.1542079077696
1957	54.643	10.326	71427.9207354993	213.662	3903.03587274989	117.3	1008.9	983.484774771487	9770.4822777455	9491.17004660884	2.43174040824837	9.79829729085561
1958	52.581	9.728	71427.9207354993	212.087	3755.75150019329	117	1034	1021.39859959182	10629.1118421053	10193.7708505763	2.71417607103443	9.48531543770895
1959	53.793	10.94	71427.9207354993	231.201	3842.32214012471	129.6	1078.1	1055.89651640955	9854.66179159049	10237.0048902463	2.66427553883185	10.0691671258545
1960	54.408	11.072	71427.9207354993	243.031	3886.25031137705	130.5	1111	1094.46758597873	10034.3208092486	9944.22081511593	2.55882149073211	9.75701966103425
1961	53.798	11.152	71427.9207354993	248.143	3842.67927972839	136.7	1147.6	1129.20114423276	10290.5308464849	10161.8875183615	2.64447974411223	9.92489789660724
1962	54.743	12.121	71427.9207354993	265.675	3910.17866482344	149.1	1190.4	1168.86940378307	9820.97186700767	10053.9238976183	2.57121854509231	10.3935437346383
1963	55.102	13.019	71427.9207354993	279.36	3935.82128836748	158.5	1228.7	1209.44893017618	9437.7448344727	9628.08725125705	2.44627145031035	10.6460941217785
1964	55.984	14.216	71427.9207354993	299.219	3998.82071445619	170.7	1313.9	1270.82402954743	9242.40292628025	9339.73341577935	2.33562194524379	10.8723134836123
1965	57.864	15.678	71427.9207354993	322.597	4133.10520543893	189.6	1402.9	1357.91393378998	8948.20767955096	9094.51224834806	2.20040666673091	11.2822830359338
1966	60.064	16.597	71427.9207354993	355.937	4290.24663105703	204.1	1522.1	1461.69003202494	9170.93450623607	9059.1147685098	2.11156037112902	11.2289263090801
1967	61.189	16.438	71427.9207354993	378.875	4370.60304188447	206.9	1636.5	1578.6091907158	9955.59070446526	9557.89517357982	2.18685958939404	10.5696894504339
1968	62.534	17.591	71427.9207354993	415.435	4466.67359527371	220.7	1804.7	1719.22890432306	10259.2234665454	10106.6469301011	2.26267863870671	10.3388640972026
1969	64.223	18.641	71427.9207354993	458.004	4587.31535339597	227.2	1962.9	1882.69235331682	10530.0144842015	10394.0310823063	2.26582004540229	9.70651317835619
1970	63.651	18.18	71427.9207354993	482.772	4546.45858273526	222.2	2121	2040.92950458296	11666.6666666667	11088.6327962556	2.43896047758217	8.80452777780937
1971	63.348	19.437	71427.9207354993	510.33	4524.81592275241	247.1	2352.7	2234.84854912228	12104.2341925194	11884.1078732441	2.62642902520885	9.00123600627019
1972	65.252	21.704	71427.9207354993	562.479	4660.8146838328	279.2	2593.9	2471.33857288349	11951.2532252119	12027.5815599392	2.58057493717994	9.20292645462643
1973	68.488	23.567	71427.9207354993	631.247	4891.95543533287	317.8	2947.1	2766.74358729306	12505.1979462808	12226.1341352219	2.49923252507919	9.3525862369492
1974	69.532	22.227	71427.9207354993	691.111	4966.52618458074	324	3468.5	3200.72509792926	15604.8949475863	13997.8933330976	2.8184475049293	8.32511934848417
1975	67.443	20.096	71427.9207354993	730.313	4817.31325816428	359	3786.1	3624.98143968454	18840.0676751592	17171.7187939755	3.56458421400628	8.24284109769633
1976	69.69	22.015	71427.9207354993	816.562	4977.81179605695	405.3	4169	3974.47643509011	18937.0883488531	18888.5364832596	3.79454612932969	8.4595439066307
1977	72.528	24.99	71427.9207354993	916.584	5180.52423510429	457.1	4735.8	4446.38058600124	18950.7803121249	18943.9335058177	3.65675994283547	8.52327090119431
1978	76.649	27.875	71427.9207354993	1045.4	5474.87869645529	524.6	5412.7	5066.71623540592	19417.7578475336	19183.3217905325	3.5038806983893	8.58295195633104
1979	79.596	29.526	71427.9207354993	1183.341	5685.3767788628	562.3	6264.5	5828.22942520184	21216.8935853146	20304.0423767564	3.57127472223883	8.01960140026424
1980	79.616	27.723	71427.9207354993	1298.322	5686.80533727751	576.2	7117.9	6682.11987690087	25675.0712404862	23375.1689892301	4.11042186304563	7.22015157666635
1981	80.634	28.404	71427.9207354993	1434.595	5759.51896058625	670	7860.4	7483.01147533678	27673.5671032249	26661.836874363	4.6291777241843	7.51322680422155
